k,dt,steps_per_year,A_leland,A_optimal,A_ml,BS_mean,BS_std,BS_tc,Leland_mean,Leland_std,Leland_tc,Opt_mean,Opt_std,Opt_tc,ML_mean,ML_std,ML_tc
0.005,0.003968253968253968,252,0.5066409894773702,0.45597689052963325,0.5656565656565657,-15.82831346963529,1.1231528687244863,2.7846581977165767,-15.55955906830307,0.6059459613116989,2.537076892206516,-15.581849116795556,0.610064437146139,2.5576378415510708,-15.534569112074928,0.6131283093093121,2.5140206830551266
0.005,0.007936507936507936,126,0.3582492792865108,0.42989913514381295,0.42248123261721404,-15.071912656300945,1.0392016100996386,2.04778106810551,-14.937203152532648,0.8258230496826273,1.918460754035183,-14.91484937820974,0.8381975019290901,1.8968377014853122,-14.917106107281224,0.8362893468716663,1.8990233056964338
0.005,0.015873015873015872,63,0.2533204947386851,0.3419826678972249,0.36363636363636365,-14.55308138396216,1.2162315255176208,1.527586240504779,-14.490541373395397,1.1330974226907822,1.4615644278274995,-14.471774863263533,1.1457488716568007,1.4416821535979336,-14.467393968990544,1.1512030620860716,1.4370360589459805
0.005,0.047619047619047616,21,0.14625465582862904,0.10969099187147177,0.26262626262626265,-14.012351617664894,1.911937017585406,1.0045150829615013,-13.98940413449721,1.899693839303281,0.9812879339268711,-13.994818360220956,1.8990063634833563,0.9867849202832695,-13.973398303037666,1.914825613450853,0.9649747786414907
0.01,0.003968253968253968,252,1.0132819789547405,1.0639460779024776,0.98989898989899,-18.699043360144977,1.990427137634349,5.567334393727542,-17.812816803039684,0.6758961112260603,4.729636579175364,-17.78195081652741,0.6799046637335435,4.700459409912703,-17.827348220602904,0.6760281481667487,4.743373239552408
0.01,0.007936507936507936,126,0.7164985585730216,0.7523234865016727,0.6666666666666667,-17.159826868152663,1.591590065084723,4.069143143669054,-16.716272162599715,0.8812579704188631,3.6237825028128374,-16.699519376830867,0.8832666891222198,3.606970629317383,-16.74020640670273,0.8831428372993525,3.6478029527726785
0.01,0.015873015873015872,63,0.5066409894773702,0.3799807421080277,0.47795466675653997,-16.138514129893743,1.5120679153490577,3.069228209749992,-15.886974909124671,1.2038283061125066,2.8272231778033343,-15.940340687380766,1.214225045109445,2.8786283395310677,-15.898626659544167,1.2032408458790536,2.83844865426884
0.01,0.047619047619047616,21,0.2925093116572581,0.30713477724012095,0.26262626262626265,-15.09919570762451,2.0657136062473063,2.0131856495818097,-15.009407196592676,1.9880823032210744,1.9268724650728022,-15.005509079484566,1.9881296016395142,1.9231231688445274,-15.017522571758809,1.9889116724946976,1.9346778673741676
0.015,0.003968253968253968,252,1.5199229684321107,1.4000000000000001,1.595959595959596,-21.45972386122397,2.872037605691647,8.264434355786873,-19.816168214148878,0.7173738262339697,6.641370469774905,-19.899576487246588,0.7224751681011339,6.724072081993659,-19.76556286982507,0.7266096775793244,6.59118667447501
0.015,0.007936507936507936,126,1.0747478378595323,0.967273054073579,0.9494949494949496,-19.29147367036217,2.211589721937289,6.140301223141955,-18.352845454481795,0.9635050838048317,5.224131125145144,-18.41910312709813,0.9677889548942279,5.289324806271303,-18.430456104574375,0.9705384242444547,5.300487230432356
0.015,0.015873015873015872,63,0.7599614842160554,0.9119537810592664,0.6464646464646465,-17.72774150241589,1.8188144942145632,4.610437156473417,-17.20580178101283,1.23801301794094,4.111128430963939,-17.131486298969126,1.265083319911325,4.0397050815340645,-17.26612321926456,1.238999557452206,4.169037603010262
0.015,0.047619047619047616,21,0.43876396748588714,0.5923313561059476,0.04040404040404041,-16.022208132017923,2.150155321730938,3.0002722196643394,-15.839329573517706,2.060868299504125,2.818546059730659,-15.789661238577647,2.0916960767272323,2.7689215780422742,-16.002007498288965,2.1250862053506667,2.9802654493985323
0.02,0.003968253968253968,252,2.026563957909481,2.0,1.97979797979798,-24.369528831668326,3.814859465477114,11.091505031273362,-21.688135148847365,0.7947511813812976,8.489332010955986,-21.708318685880986,0.7940572377350642,8.50900213797771,-21.723806502599658,0.7941101084343033,8.524095237006994
0.02,0.007936507936507936,126,1.4329971171460432,1.4000000000000001,1.3333333333333335,-21.368157238216803,2.804815471185621,8.174804020540906,-19.860698047066723,1.0131910929324506,6.707728461601637,-19.882991881389177,1.011098989654877,6.7294889017407495,-19.9291108882595,1.0112759283134072,6.774496175552222
0.02,0.015873015873015872,63,1.0132819789547405,0.9119537810592665,0.7272727272727273,-19.247382592992054,2.210193111747038,6.120416288615938,-18.41056770856668,1.321668652984805,5.306917963948346,-18.470686922997373,1.317095185559473,5.365418205265231,-18.589945822343132,1.347059568397354,5.48143905168545
0.02,0.047619047619047616,21,0.5850186233145162,0.4387639674858871,0.7272727272727273,-17.128433750053414,2.274584536244108,4.022376376473798,-16.807578290513142,2.092511125264509,3.7133863162865404,-16.873417073592893,2.084688282265227,3.7773256517967733,-16.7500261209208,2.1193049052149293,3.6572143238108046
